
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.99648440e-001, 0.00000000e+000, 1.24082461e-001
1.09999999e-001, 2.01105729e-001, 0.00000000e+000, 1.24437809e-001
1.09999999e-001, 2.02563018e-001, 0.00000000e+000, 1.24891341e-001
1.09999999e-001, 2.04020306e-001, 0.00000000e+000, 1.25388026e-001
1.09999999e-001, 2.05477595e-001, 0.00000000e+000, 1.25890389e-001
1.09999999e-001, 2.06934884e-001, 0.00000000e+000, 1.26534745e-001
1.09999999e-001, 2.08392173e-001, 0.00000000e+000, 1.27249181e-001
1.09999999e-001, 2.09849462e-001, 0.00000000e+000, 1.27968565e-001
1.09999999e-001, 2.11306751e-001, 0.00000000e+000, 1.28844321e-001
1.09999999e-001, 2.12764040e-001, 0.00000000e+000, 1.29807845e-001
1.09999999e-001, 2.14221328e-001, 0.00000000e+000, 1.30774230e-001
1.09999999e-001, 2.15678617e-001, 0.00000000e+000, 1.31869227e-001
1.09999999e-001, 2.17135906e-001, 0.00000000e+000, 1.33047044e-001
1.09999999e-001, 2.18593195e-001, 0.00000000e+000, 1.34225473e-001
1.09999999e-001, 2.20050484e-001, 0.00000000e+000, 1.35467246e-001
1.09999999e-001, 2.21507773e-001, 0.00000000e+000, 1.36756763e-001
1.09999999e-001, 2.22965062e-001, 0.00000000e+000, 1.38046756e-001
1.09999999e-001, 2.24422351e-001, 0.00000000e+000, 1.39320999e-001
1.09999999e-001, 2.25879639e-001, 0.00000000e+000, 1.40583798e-001
1.09999999e-001, 2.27336928e-001, 0.00000000e+000, 1.41849816e-001
1.09999999e-001, 2.28794217e-001, 0.00000000e+000, 1.43041849e-001
1.09999999e-001, 2.30251506e-001, 0.00000000e+000, 1.44162655e-001
1.09999999e-001, 2.31708795e-001, 0.00000000e+000, 1.45290673e-001
1.09999999e-001, 2.33166084e-001, 0.00000000e+000, 1.46324992e-001
1.09999999e-001, 2.34623373e-001, 0.00000000e+000, 1.47252455e-001
1.09999999e-001, 2.36080661e-001, 0.00000000e+000, 1.48190334e-001
1.09999999e-001, 2.37537950e-001, 0.00000000e+000, 1.49043754e-001
1.09999999e-001, 2.38995239e-001, 0.00000000e+000, 1.49783030e-001
1.09999999e-001, 2.40452528e-001, 0.00000000e+000, 1.50535703e-001
1.09999999e-001, 2.41909817e-001, 0.00000000e+000, 1.51225269e-001
1.09999999e-001, 2.43367106e-001, 0.00000000e+000, 1.51812956e-001
1.09999999e-001, 2.44824395e-001, 0.00000000e+000, 1.52418002e-001
1.09999999e-001, 2.46281683e-001, 0.00000000e+000, 1.52985692e-001
1.09999999e-001, 2.47738972e-001, 0.00000000e+000, 1.53476492e-001
1.09999999e-001, 2.49196261e-001, 0.00000000e+000, 1.53990746e-001
1.09999999e-001, 2.50653535e-001, 0.00000000e+000, 1.54496863e-001
1.09999999e-001, 2.52110809e-001, 0.00000000e+000, 1.54966116e-001
1.09999999e-001, 2.53568083e-001, 0.00000000e+000, 1.55467644e-001
1.09999999e-001, 2.55025357e-001, 0.00000000e+000, 1.55994490e-001
1.09999999e-001, 2.56482631e-001, 0.00000000e+000, 1.56545877e-001
1.09999999e-001, 2.57939905e-001, 0.00000000e+000, 1.57143474e-001
1.09999999e-001, 2.59397179e-001, 0.00000000e+000, 1.57743767e-001
1.09999999e-001, 2.60854453e-001, 0.00000000e+000, 1.58274949e-001
1.09999999e-001, 2.62311727e-001, 0.00000000e+000, 1.58874318e-001
1.09999999e-001, 2.63769001e-001, 0.00000000e+000, 1.59473673e-001
1.09999999e-001, 2.65226275e-001, 0.00000000e+000, 1.59912974e-001
1.09999999e-001, 2.66683549e-001, 0.00000000e+000, 1.60452023e-001
1.09999999e-001, 2.68140823e-001, 0.00000000e+000, 1.61001742e-001
1.09999999e-001, 2.69598097e-001, 0.00000000e+000, 1.61282420e-001
1.09999999e-001, 2.71055371e-001, 0.00000000e+000, 1.61726609e-001
1.09999999e-001, 2.72512645e-001, 0.00000000e+000, 1.62243739e-001
1.09999999e-001, 2.73969918e-001, 0.00000000e+000, 1.62448183e-001
1.09999999e-001, 2.75427192e-001, 0.00000000e+000, 1.62922010e-001
1.09999999e-001, 2.76884466e-001, 0.00000000e+000, 1.63587198e-001
1.09999999e-001, 2.78341740e-001, 0.00000000e+000, 1.64010108e-001
1.09999999e-001, 2.79799014e-001, 0.00000000e+000, 1.64920181e-001
1.09999999e-001, 2.81256288e-001, 0.00000000e+000, 1.66428909e-001
1.09999999e-001, 2.82713562e-001, 0.00000000e+000, 1.70007750e-001
1.09999999e-001, 2.84170836e-001, 0.00000000e+000, 1.74110606e-001
1.09999999e-001, 2.85628110e-001, 0.00000000e+000, 1.78600788e-001
1.09999999e-001, 2.87085384e-001, 0.00000000e+000, 1.80947021e-001
1.09999999e-001, 2.88542658e-001, 0.00000000e+000, 1.83960482e-001
1.09999999e-001, 2.89999932e-001, 0.00000000e+000, 1.87609062e-001
