
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 2.30251506e-001, 0.00000000e+000, 1.54204607e-001
1.09999999e-001, 2.31708795e-001, 0.00000000e+000, 1.55956015e-001
1.09999999e-001, 2.33166084e-001, 0.00000000e+000, 1.57761097e-001
1.09999999e-001, 2.34623373e-001, 0.00000000e+000, 1.59621924e-001
1.09999999e-001, 2.36080661e-001, 0.00000000e+000, 1.61515191e-001
1.09999999e-001, 2.37537950e-001, 0.00000000e+000, 1.63393691e-001
1.09999999e-001, 2.38995239e-001, 0.00000000e+000, 1.65241048e-001
1.09999999e-001, 2.40452528e-001, 0.00000000e+000, 1.67117953e-001
1.09999999e-001, 2.41909817e-001, 0.00000000e+000, 1.68945074e-001
1.09999999e-001, 2.43367106e-001, 0.00000000e+000, 1.70679510e-001
1.09999999e-001, 2.44824395e-001, 0.00000000e+000, 1.72442138e-001
1.09999999e-001, 2.46281683e-001, 0.00000000e+000, 1.74162850e-001
1.09999999e-001, 2.47738972e-001, 0.00000000e+000, 1.75788522e-001
1.09999999e-001, 2.49196261e-001, 0.00000000e+000, 1.77445173e-001
1.09999999e-001, 2.50653535e-001, 0.00000000e+000, 1.79049760e-001
1.09999999e-001, 2.52110809e-001, 0.00000000e+000, 1.80517733e-001
1.09999999e-001, 2.53568083e-001, 0.00000000e+000, 1.82025805e-001
1.09999999e-001, 2.55025357e-001, 0.00000000e+000, 1.83455616e-001
1.09999999e-001, 2.56482631e-001, 0.00000000e+000, 1.84642166e-001
1.09999999e-001, 2.57939905e-001, 0.00000000e+000, 1.85885713e-001
1.09999999e-001, 2.59397179e-001, 0.00000000e+000, 1.87050253e-001
1.09999999e-001, 2.60854453e-001, 0.00000000e+000, 1.87882394e-001
1.09999999e-001, 2.62311727e-001, 0.00000000e+000, 1.88797027e-001
1.09999999e-001, 2.63769001e-001, 0.00000000e+000, 1.89658001e-001
1.09999999e-001, 2.65226275e-001, 0.00000000e+000, 1.90128937e-001
1.09999999e-001, 2.66683549e-001, 0.00000000e+000, 1.90720618e-001
1.09999999e-001, 2.68140823e-001, 0.00000000e+000, 1.91300154e-001
1.09999999e-001, 2.69598097e-001, 0.00000000e+000, 1.91428900e-001
1.09999999e-001, 2.71055371e-001, 0.00000000e+000, 1.91740915e-001
1.09999999e-001, 2.72512645e-001, 0.00000000e+000, 1.92122430e-001
1.09999999e-001, 2.73969918e-001, 0.00000000e+000, 1.92066744e-001
1.09999999e-001, 2.75427192e-001, 0.00000000e+000, 1.92296907e-001
1.09999999e-001, 2.76884466e-001, 0.00000000e+000, 1.92720473e-001
1.09999999e-001, 2.78341740e-001, 0.00000000e+000, 1.92761928e-001
1.09999999e-001, 2.79799014e-001, 0.00000000e+000, 1.93263710e-001
1.09999999e-001, 2.81256288e-001, 0.00000000e+000, 1.94157749e-001
1.09999999e-001, 2.82713562e-001, 0.00000000e+000, 1.94772765e-001
1.09999999e-001, 2.84170836e-001, 0.00000000e+000, 1.96035519e-001
1.09999999e-001, 2.85628110e-001, 0.00000000e+000, 1.97833121e-001
1.09999999e-001, 2.87085384e-001, 0.00000000e+000, 1.97681010e-001
1.09999999e-001, 2.88542658e-001, 0.00000000e+000, 1.98428720e-001
1.09999999e-001, 2.89999932e-001, 0.00000000e+000, 2.00066060e-001
